"用户ID","特征","租房行为","签约状态","对比","时间"
"1001","65㎡一居 | 单身白领 | 月付","看房:3次\n已签约:1套\n月租金:3500元","合同剩余:11个月\n押金:7000元\n水电已结清","看房活跃度优于70%同城用户","2025-01"
"1002","70㎡两居 | 情侣合租 | 季付","看房:4次\n已签约:1套\n月租金:4800元","合同剩余:11个月\n押金:9600元\n通勤时间:30min","看房后签约率提升至60%","2025-02"
"1003","90㎡两居 | 养宠家庭 | 半年付","续租确认:是\n宠物友好:满意\n月租金:6000元","合同剩余:4个月\n宠物押金已缴\n邻里无投诉","宠物友好房源满意度前20%","2025-02"
"1004","85㎡三居 | 学生合租 | 月付","续租确认:待定\n室友调整:1人搬离\n人均月租:1600元","合同剩余:10个月\n新室友招募中\n费用重新分摊","合租稳定性低于平均15%","2025-02"
"1005","120㎡三居 | 退休老人 | 年付","设施报修:2次\n维修满意度:高\n社区活动:参与","合同剩余:10个月\n维修响应:及时\n邻里关系:融洽","老年用户体验优于90%用户","2025-02"
"1006","150㎡四居 | 家庭整租 | 季付","看房:3次\n已签约:1套\n月租金:11500元","合同剩余:11个月\n学区:重点小学\n通勤:步行10min","学区房匹配精准度前5%","2025-02"
"1007","55㎡一居 | 独居女性 | 月付","续租确认:是\n月租金:2800元\n安全满意度:高","合同剩余:10个月\n门禁安防:完备\n无异常事件","女性安全满意度排名前10%","2025-02"
"1008","100㎡三居 | 三口之家 | 半年付","续租确认:是\n月租金:7500元\n孩子入学:便利","合同剩余:4个月\n周边配套:齐全\n社区环境:优秀","家庭续租意愿高于平均25%","2025-02"
"1009","80㎡两居 | 实习生 | 月付","合同到期:已退租\n退租评分:5星\n押金退还:全额","已退租\n新需求:长期租房\n预算提升至3000元","短租转长租意愿明显","2025-02"
"1010","130㎡四居 | 三代同堂 | 年付","续租确认:是\n年租金:96000元\n设施维护:良好","合同剩余:10个月\n老人出行:便利\n社区医疗:近","多代家庭满意度前5%","2025-02"
"1001","65㎡一居 | 单身白领 | 月付","续租稳定\n月租金:3500元\n无报修记录","合同剩余:9个月\n信用评级:优秀\n缴费准时率:100%","信用评级优于80%用户","2025-03"
"1002","70㎡两居 | 情侣合租 | 季付","续租满意\n月租金:4800元\n装修评价:好","合同剩余:10个月\n周边商圈:便利\n生活满意度:高","情侣合租满意度前30%","2025-03"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物健康检查:通过\n社区宠物友好:满意\n月租金:6000元","合同剩余:3个月\n续约意向:强烈\n宠物社交:活跃","养宠续租意愿前10%","2025-03"
"1004","85㎡三居 | 学生合租 | 月付","新室友入住\n费用重新分摊\n人均月租:1500元","合同剩余:9个月\n合租规则:更新\n卫生轮值:有序","合租调整效率高于平均20%","2025-03"
"1005","120㎡三居 | 退休老人 | 年付","社区活动:3次\n健康讲座:参与\n生活环境:满意","合同剩余:9个月\n无障碍设施:完善\n就医便利:近","老年社区参与度前15%","2025-03"
"1006","150㎡四居 | 家庭整租 | 季付","孩子入学:顺利\n周边环境:满意\n月租金:11500元","合同剩余:10个月\n学校评价:好\n接送便利:步行","学区家庭满意度前10%","2025-03"
"1007","55㎡一居 | 独居女性 | 月付","续租稳定\n月租金:2800元\n社区安全感:强","合同剩余:9个月\n夜间照明:良好\n监控覆盖:全面","女性居住安全感排名前5%","2025-03"
"1008","100㎡三居 | 三口之家 | 半年付","续约谈判:进行中\n意向续约:是\n月租金:7500元","合同剩余:3个月\n租金调整:待协商\n续约意愿:强烈","续约谈判成功率预计95%","2025-03"
"1009","80㎡两居 | 实习生 | 月付","新房搜索:进行中\n看房:2次\n预算:3000元/月","待签约\n偏好:整租一居\n通勤要求:30min内","长租需求转化率80%","2025-03"
"1010","130㎡四居 | 三代同堂 | 年付","家庭聚会:2次\n邻里关系:融洽\n社区评价:好","合同剩余:9个月\n老人健康:良好\n社区医疗:满意","多代共居体验评分前5%","2025-03"
"1001","65㎡一居 | 单身白领 | 月付","工作调动:待确认\n可能需要换租\n月租金:3500元","合同剩余:8个月\n违约金条款:待查\n灵活转租:可协商","换租需求预警:黄色","2025-04"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金已缴\n月租金:4800元\n生活满意度:高","合同剩余:8个月\n缴费准时率:100%\n无违约记录","缴费信用评级:A级","2025-04"
"1003","90㎡两居 | 养宠家庭 | 半年付","已续约:是\n新合同:1年\n月租金:6200元(涨)","合同剩余:11个月\n续约租金涨幅:3.3%\n接受度:可接受","续约租金涨幅低于市场50%","2025-04"
"1004","85㎡三居 | 学生合租 | 月付","期末备考:安静\n室友配合:良好\n人均月租:1500元","合同剩余:8个月\n暑期计划:待定\n续约意向:待确认","学生合租季节性波动正常","2025-04"
"1005","120㎡三居 | 退休老人 | 年付","春季出游:2周\n房屋看管:邻居帮忙\n社区关系:紧密","合同剩余:8个月\n安全感:高\n邻里互助:频繁","老年社区归属感前10%","2025-04"
"1006","150㎡四居 | 家庭整租 | 季付","季度租金已缴\n月租金:11500元\n孩子成绩:进步","合同剩余:8个月\n教育投入:增加\n居家环境:满意","家庭教育环境满意度前15%","2025-04"
"1007","55㎡一居 | 独居女性 | 月付","工作稳定\n续租意愿:强\n月租金:2800元","合同剩余:8个月\n租金合理性:高\n生活便利度:好","小户型忠诚度前10%","2025-04"
"1008","100㎡三居 | 三口之家 | 半年付","已续约:是\n新合同:1年\n月租金:7700元(涨)","合同剩余:11个月\n续约涨幅:2.7%\n续约满意度:高","家庭续约体验评分A级","2025-04"
"1009","80㎡两居 | 实习生 | 月付","已签约:1套\n月租金:3000元\n一居整租","合同剩余:11个月\n通勤时间:25min\n生活配套:齐全","长期租房签约效率前20%","2025-04"
"1010","130㎡四居 | 三代同堂 | 年付","家庭健康:良好\n老人体检:正常\n居住满意度:高","合同剩余:8个月\n无障碍改造:无需求\n适老化评价:良好","适老化居住体验前8%","2025-04"
"1001","65㎡一居 | 单身白领 | 月付","确认工作调动\n发起转租流程\n月租金:3500元","合同剩余:7个月\n转租审批:进行中\n转租对象:寻找中","转租效率待观察","2025-05"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金待缴\n月租金:4800元\n缴费提醒:已发送","合同剩余:7个月\n缴费D-day:3天内\n信用记录:良好","缴费提醒响应率90%","2025-05"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物寄养需求:暑假\n社区宠物活动:参加\n月租金:6200元","合同剩余:10个月\n宠物设施:满意\n社区宠物群:活跃","宠物友好社区排名前10%","2025-05"
"1004","85㎡三居 | 学生合租 | 月付","暑假离校:2人\n短期转租:2间\n月租金:1500元","合同剩余:7个月\n暑期转租:进行\n空置风险:中","暑期空置率管理待优化","2025-05"
"1005","120㎡三居 | 退休老人 | 年付","子女探访:1周\n家庭聚会:1次\n生活满意度:高","合同剩余:7个月\n房屋维护:主动\n设施报修:0次","主动维护意识优于90%用户","2025-05"
"1006","150㎡四居 | 家庭整租 | 季付","暑期计划:出游\n房屋看管:亲戚\n月租金:11500元","合同剩余:7个月\n暑期空置:2周\n安全措施:到位","暑期房屋安全管理优秀","2025-05"
"1007","55㎡一居 | 独居女性 | 月付","短途旅行:3天\n房屋安全:检查\n月租金:2800元","合同剩余:7个月\n安全自检:完成\n邻里关照:已安排","安全防范意识前5%","2025-05"
"1008","100㎡三居 | 三口之家 | 半年付","孩子暑假:安排\n家庭出游:计划\n月租金:7700元","合同剩余:10个月\n暑期生活:丰富\n社区活动:参与","家庭生活丰富度前20%","2025-05"
"1009","80㎡两居 | 实习生 | 月付","转正成功\n收入提升:20%\n月租金:3000元","合同剩余:10个月\n租金占比:下降\n居住稳定性:提升","收入增长改善租房体验","2025-05"
"1010","130㎡四居 | 三代同堂 | 年付","暑期团聚:子女回\n家庭活动:3次\n居住满意度:极高","合同剩余:7个月\n天伦之乐:享受\n空间满意度:好","多代共居幸福指数前3%","2025-05"
"1001","65㎡一居 | 单身白领 | 月付","转租成功\n已搬离\n押金退还:协商中","合同剩余:6个月\n转租交接:完成\n新城市找房:开始","跨城租房需求已激活","2025-06"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金已缴\n月租金:4800元\n关系稳定:良好","合同剩余:6个月\n续约意向:讨论中\n购房计划:远期","恋爱同居续租率高于平均","2025-06"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物美容:定期\n社区养宠规范:遵守\n月租金:6200元","合同剩余:9个月\n宠物档案:完善\n邻里好评:多","模范养宠租户前5%","2025-06"
"1004","85㎡三居 | 学生合租 | 月付","暑假结束:返校\n新学年来临\n续约决策:待定","合同剩余:6个月\n室友变动:可能\n新学期预算:审核中","学年交替期续约需关注","2025-06"
"1005","120㎡三居 | 退休老人 | 年付","健康体检:正常\n居家养老:适宜\n居住满意度:高","合同剩余:6个月\n适老化评价:优秀\n医疗配套:满意","居家养老体验评分A+","2025-06"
"1006","150㎡四居 | 家庭整租 | 季付","季度租金已缴\n孩子开学:准备\n月租金:11500元","合同剩余:6个月\n开学季:平稳\n家庭教育:重视","学期前家庭稳定性良好","2025-06"
"1007","55㎡一居 | 独居女性 | 月付","升职加薪:10%\n续租意愿:强\n月租金:2800元","合同剩余:6个月\n租金负担:减轻\n生活品质:提升","职业发展带动居住稳定","2025-06"
"1008","100㎡三居 | 三口之家 | 半年付","暑假结束:收心\n新学期计划:制定\n月租金:7700元","合同剩余:9个月\n学习环境:优化\n家校距离:适中","家庭教育环境满意度前15%","2025-06"
"1009","80㎡两居 | 实习生 | 月付","工作稳定:满意\n续租确认:是\n月租金:3000元","合同剩余:9个月\n职业发展:良好\n居住满意度:高","职场新人租房稳定性前15%","2025-06"
"1010","130㎡四居 | 三代同堂 | 年付","秋季养生:开始\n老人保健:重视\n居住舒适度:高","合同剩余:6个月\n季节转换:适应\n环境舒适:优秀","多代家庭秋季满意度前5%","2025-06"
"1001","65㎡一居 | 单身白领 | 月付","新城找房:3次\n看房:4套\n目标:近公司","已搬离原城市\n新预算:4000元\n偏好:拎包入住","跨城安家效率待提升","2025-07"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金待缴\n月租金:4800元\n看新房:偶尔","合同剩余:5个月\n购房意愿:萌芽\n观望市场:是","购房意愿对续租影响中","2025-07"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物生日:庆祝\n社区宠物派对:参加\n月租金:6200元","合同剩余:8个月\n宠物社群:活跃\n归属感:强","社区归属感排名前8%","2025-07"
"1004","85㎡三居 | 学生合租 | 月付","新学期开始\n室友调整:1人换\n人均月租:1600元","合同剩余:5个月\n新室友:磨合中\n合租公约:重新约定","新学期合租调整期","2025-07"
"1005","120㎡三居 | 退休老人 | 年付","高温防暑:注意\n空调报修:1次\n维修速度:满意","合同剩余:5个月\n维修响应:24h内\n夏季用电:正常","夏季居住体验良好","2025-07"
"1006","150㎡四居 | 家庭整租 | 季付","孩子暑期班:报名\n家庭活动:丰富\n月租金:11500元","合同剩余:5个月\n教育开支:增加\n居住性价比:高","家庭消费结构健康","2025-07"
"1007","55㎡一居 | 独居女性 | 月付","夏季空调:正常\n水电费:略增\n月租金:2800元","合同剩余:5个月\n居住舒适度:良好\n节能意识:强","节能居住习惯优于80%用户","2025-07"
"1008","100㎡三居 | 三口之家 | 半年付","秋季开学:备齐\n学习氛围:营造\n月租金:7700元","合同剩余:8个月\n新学期:顺利\n教育环境:满意","开学季家庭准备充分","2025-07"
"1009","80㎡两居 | 实习生 | 月付","工作绩效:优秀\n续租满意度:高\n月租金:3000元","合同剩余:8个月\n职业成长:快速\n居住稳定:加分","职场上升期居住满意度高","2025-07"
"1010","130㎡四居 | 三代同堂 | 年付","夏季养生:重视\n老人防暑:到位\n全家健康:良好","合同剩余:5个月\n防暑措施:完善\n居住舒适:高","夏季多代居住体验前5%","2025-07"
"1001","65㎡一居 | 单身白领 | 月付","已签约:1套\n新城市安家\n月租金:4200元","合同剩余:11个月\n通勤:15min步行\n配套:商圈核心","跨城安家完成效率前30%","2025-08"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金已缴\n购房计划:讨论中\n月租金:4800元","合同剩余:4个月\n购房预算:规划\n续租或购房:抉择期","租购抉择期需关注","2025-08"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物健康:良好\n社区满意度:高\n月租金:6200元","合同剩余:7个月\n宠物医疗:近\n宠物配套:齐全","宠物友好社区评价A级","2025-08"
"1004","85㎡三居 | 学生合租 | 月付","学业压力:增大\n室友互助:良好\n人均月租:1600元","合同剩余:4个月\n学习环境:稳定\n续约意向:待讨论","学业压力期居住稳定性重要","2025-08"
"1005","120㎡三居 | 退休老人 | 年付","秋季养生:进行\n社区体检:参与\n生活规律:健康","合同剩余:4个月\n健康管理:积极\n养老环境:满意","积极养老生活评分A+","2025-08"
"1006","150㎡四居 | 家庭整租 | 季付","季度租金已缴\n孩子新学期:适应\n月租金:11500元","合同剩余:4个月\n教育配套:满意\n居住稳定性:重要","学期中家庭居住稳定","2025-08"
"1007","55㎡一居 | 独居女性 | 月付","秋季换季:整理\n居住舒适:保持\n月租金:2800元","合同剩余:4个月\n房屋维护:主动\n生活品质:高","小户型精致生活前10%","2025-08"
"1008","100㎡三居 | 三口之家 | 半年付","孩子学习:进步\n家庭教育:投入\n月租金:7700元","合同剩余:7个月\n家庭关系:融洽\n社区友好:温暖","家庭教育投入回报率高","2025-08"
"1009","80㎡两居 | 实习生 | 月付","工作满一年\n薪资调整:待定\n月租金:3000元","合同剩余:7个月\n职业规划:思考\n居住需求:稳定","工作满一年租房稳定性增强","2025-08"
"1010","130㎡四居 | 三代同堂 | 年付","中秋团聚:2天\n家庭团圆:温馨\n居住幸福感:高","合同剩余:4个月\n节日氛围:浓厚\n多代共居:幸福","节日多代共居幸福指数前3%","2025-08"
"1001","65㎡一居 | 单身白领 | 月付","新工作:适应中\n新家:满意\n月租金:4200元","合同剩余:10个月\n新生活:步入正轨\n社交圈:拓展","新城融入速度优于60%用户","2025-09"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金已缴\n购房决定:推迟\n续约意向:增强","合同剩余:3个月\n续约谈判:即将开始\n预期租金:持平","租购抉择偏向续租","2025-09"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物换季:注意\n社区秋季活动:参与\n月租金:6200元","合同剩余:6个月\n续约意愿:高\n宠物社区:依赖","宠物家庭续约忠诚度前10%","2025-09"
"1004","85㎡三居 | 学生合租 | 月付","期中考试:备考\n室友配合:静音\n人均月租:1600元","合同剩余:3个月\n考试季:安静优先\n续约:待考试后讨论","考试季合租配合度良好","2025-09"
"1005","120㎡三居 | 退休老人 | 年付","重阳节:社区活动\n敬老活动:参与\n生活充实:满意","合同剩余:3个月\n社区关怀:温暖\n养老评价:优秀","老年社区关怀感受度前5%","2025-09"
"1006","150㎡四居 | 家庭整租 | 季付","孩子期中:成绩优\n家庭氛围:好\n月租金:11500元","合同剩余:3个月\n教育成果:满意\n居住稳定性:关键","家庭教育与居住稳定性正相关","2025-09"
"1007","55㎡一居 | 独居女性 | 月付","秋季整理:完成\n收纳空间:充足\n月租金:2800元","合同剩余:3个月\n居住满意度:极高\n续约意愿:强烈","小户型居住幸福感前5%","2025-09"
"1008","100㎡三居 | 三口之家 | 半年付","孩子辅导:加强\n学习空间:优化\n月租金:7700元","合同剩余:6个月\n家庭教育:投入\n居住满意度:高","学习型家庭居住评价A级","2025-09"
"1009","80㎡两居 | 实习生 | 月付","转正满3个月\n储蓄计划:开始\n月租金:3000元","合同剩余:6个月\n财务规划:健康\n租房支出:合理","职场新人财务健康度前20%","2025-09"
"1010","130㎡四居 | 三代同堂 | 年付","国庆团聚:计划\n家庭出游:7天\n居旅平衡:良好","合同剩余:3个月\n节日安排:丰富\n多代共居:和谐","节假日多代共居满意度前3%","2025-09"
"1001","65㎡一居 | 单身白领 | 月付","新城市生活:稳定\n社交圈:扩展\n月租金:4200元","合同剩余:9个月\n归属感:增强\n生活质量:提升","新城安居满意度持续提升","2025-10"
"1002","70㎡两居 | 情侣合租 | 季付","已续约:是\n新合同:1年\n月租金:4900元(涨)","合同剩余:11个月\n涨幅:2.1%\n续约决策:满意","续约租金涨幅低于市场均值","2025-10"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物冬季准备\n保暖措施:完成\n月租金:6200元","合同剩余:5个月\n宠物过冬:准备\n社区互助:温暖","宠物冬季关怀社区前5%","2025-10"
"1004","85㎡三居 | 学生合租 | 月付","考试结束:放松\n室友聚餐:1次\n续约讨论:开始","合同剩余:2个月\n续约意愿:混合\n预算:微调","合租续约决策分散化","2025-10"
"1005","120㎡三居 | 退休老人 | 年付","冬季取暖:准备\n暖气检查:正常\n居住温暖:保障","合同剩余:2个月\n冬季设施:完好\n过冬准备:充分","冬季养老居住准备前10%","2025-10"
"1006","150㎡四居 | 家庭整租 | 季付","季度租金待缴\n孩子期末:临近\n月租金:11500元","合同剩余:2个月\n学期末:冲刺\n缴费:按时","临近期末家庭居住稳定","2025-10"
"1007","55㎡一居 | 独居女性 | 月付","冬季衣物:整理\n收纳艺术:享受\n月租金:2800元","合同剩余:2个月\n居住愉悦度:高\n小空间利用:极致","小空间生活美学前5%","2025-10"
"1008","100㎡三居 | 三口之家 | 半年付","冬季换季:准备\n孩子保暖:注意\n月租金:7700元","合同剩余:5个月\n家庭温暖:保障\n社区供暖:正常","冬季家庭居住舒适度前15%","2025-10"
"1009","80㎡两居 | 实习生 | 月付","年终冲刺:忙碌\n工作投入:增加\n月租金:3000元","合同剩余:5个月\n工作生活平衡:注意\n居住休憩:重要","职场冲刺期居住休憩价值高","2025-10"
"1010","130㎡四居 | 三代同堂 | 年付","冬季进补:开始\n老人养生:重视\n全家健康:管理","合同剩余:2个月\n冬季保健:积极\n居住环境:温暖","多代家庭冬季健康管理优秀","2025-10"
"1001","65㎡一居 | 单身白领 | 月付","年终总结:满意\n新年计划:制定\n月租金:4200元","合同剩余:8个月\n年终奖:计划\n续租意愿:强","年终安居满意度前30%","2025-11"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金已缴\n年末旅行:计划\n月租金:4900元","合同剩余:10个月\n假期安排:期待\n关系稳定:幸福","情侣续租后满意度前20%","2025-11"
"1003","90㎡两居 | 养宠家庭 | 半年付","宠物年末体检:健康\n社区爱心活动:参与\n月租金:6200元","合同剩余:4个月\n宠物健康:优秀\n社区贡献:积极","宠物友好社区典范前3%","2025-11"
"1004","85㎡三居 | 学生合租 | 月付","已续约:否\n部分搬离:2人\n新房源:搜索中","合同剩余:1个月\n合租解散:是\n新需求:更小户型","合租团体自然解散","2025-11"
"1005","120㎡三居 | 退休老人 | 年付","年度总结:满意\n续约计划:制定\n社区感谢信:收到","合同剩余:1个月\n续约意向:强烈\n社区依赖:深","高龄续约忠诚度前5%","2025-11"
"1006","150㎡四居 | 家庭整租 | 季付","季度租金已缴\n孩子寒假:期待\n月租金:11500元","合同剩余:1个月\n学期末:稳定\n续约:待讨论","年末家庭居住体验总结期","2025-11"
"1007","55㎡一居 | 独居女性 | 月付","年度目标:达成\n新年展望:积极\n月租金:2800元","合同剩余:1个月\n生活满意度:极高\n续约:确定","年度居住满意度满分用户","2025-11"
"1008","100㎡三居 | 三口之家 | 半年付","年终总结:家庭\n新年计划:讨论\n月租金:7700元","合同剩余:4个月\n家庭规划:进行\n续约:高概率","家庭年末续约意愿前15%","2025-11"
"1009","80㎡两居 | 实习生 | 月付","年终绩效:A\n奖金:1个月\n月租金:3000元","合同剩余:4个月\n职业发展:顺利\n租房支出占比:20%","职场新人年终安居满意度高","2025-11"
"1010","130㎡四居 | 三代同堂 | 年付","年度家庭总结:幸福\n新年愿望:健康\n家庭满意度:极高","合同剩余:1个月\n续约:确定\n多代幸福:持续","年度多代家庭幸福指数第1","2025-11"
"1001","65㎡一居 | 单身白领 | 月付","新年新气象\n居住满意度:高\n月租金:4200元","合同剩余:7个月\n新年目标:明确\n生活品质:持续提升","新年安居计划已制定","2025-12"
"1002","70㎡两居 | 情侣合租 | 季付","季度租金已缴\n跨年计划:浪漫\n月租金:4900元","合同剩余:9个月\n新年愿望:幸福\n关系升温:甜蜜","情侣跨年居住幸福感前15%","2025-12"
"1003","90㎡两居 | 养宠家庭 | 半年付","年末宠物派对:举办\n社区评选:最佳宠物家庭\n月租金:6200元","合同剩余:3个月\n获奖:社区认可\n续约:已确认","社区最佳宠物家庭荣誉","2025-12"
"1004","85㎡三居 | 学生合租 | 月付","新房已签约\n2人合租:新开始\n人均月租:1800元","合同剩余:11个月\n新室友:同学\n户型:两居","合租新篇章开启顺利","2025-12"
"1005","120㎡三居 | 退休老人 | 年付","已续约:是\n新年合同:1年\n年租金:73000元","合同剩余:11个月\n租金微调:可接受\n养老生活:持续","年度养老续约体验满分","2025-12"
"1006","150㎡四居 | 家庭整租 | 季付","已续约:是\n新年合同:1年\n月租金:11700元","合同剩余:11个月\n涨幅:1.7%\n家庭满意:高","学区家庭续约稳定性极强","2025-12"
"1007","55㎡一居 | 独居女性 | 月付","已续约:是\n新年新约:1年\n月租金:2850元","合同剩余:11个月\n涨幅:1.8%\n生活继续:美好","小户型女性用户忠诚度前3%","2025-12"
"1008","100㎡三居 | 三口之家 | 半年付","新年规划:家庭\n孩子成长:关注\n月租金:7700元","合同剩余:3个月\n续约准备:开始\n预期:稳定续约","家庭新年规划包含续约","2025-12"
"1009","80㎡两居 | 实习生 | 月付","新年晋升:预期\n储蓄目标:设定\n月租金:3000元","合同剩余:3个月\n职业信心:强\n居住升级:考虑中","职场晋升可能触发居住升级","2025-12"
"1010","130㎡四居 | 三代同堂 | 年付","已续约:是\n新年合同:1年\n年租金:97000元","合同剩余:11个月\n家庭规划:新一年\n多代幸福:持续","年度最佳多代家庭居住体验","2025-12"
